file,annotid
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_12/Home_Visit/Coding/Audio_Annotation/19_12_sparse_code.cha,NA
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_14/Home_Visit/Coding/Audio_Annotation/19_14_sparse_code.cha,0xd319a4
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_16/Home_Visit/Coding/Audio_Annotation/19_16_sparse_code.cha,0xce6476
/Volumes/pn-opus/Seedlings/Subject_Files/19/19_17/Home_Visit/Coding/Audio_Annotation/19_17_sparse_code.cha,0x8f8150
/Volumes/pn-opus/Seedlings/Subject_Files/20/20_07/Home_Visit/Coding/Audio_Annotation/20_07_sparse_code.cha,0x04afec
/Volumes/pn-opus/Seedlings/Subject_Files/20/20_10/Home_Visit/Coding/Audio_Annotation/20_10_sparse_code.cha,0xff32d7
/Volumes/pn-opus/Seedlings/Subject_Files/20/20_15/Home_Visit/Coding/Audio_Annotation/20_15_sparse_code.cha,0x8be7e1
/Volumes/pn-opus/Seedlings/Subject_Files/20/20_16/Home_Visit/Coding/Audio_Annotation/20_16_sparse_code.cha,0x82c7d5
/Volumes/pn-opus/Seedlings/Subject_Files/21/21_07/Home_Visit/Coding/Audio_Annotation/21_07_sparse_code.cha,0x1716b2
/Volumes/pn-opus/Seedlings/Subject_Files/21/21_07/Home_Visit/Coding/Audio_Annotation/21_07_sparse_code.cha,0xbc2688
/Volumes/pn-opus/Seedlings/Subject_Files/21/21_07/Home_Visit/Coding/Audio_Annotation/21_07_sparse_code.cha,0x1e387d
/Volumes/pn-opus/Seedlings/Subject_Files/21/21_07/Home_Visit/Coding/Audio_Annotation/21_07_sparse_code.cha,0xace744
/Volumes/pn-opus/Seedlings/Subject_Files/21/21_08/Home_Visit/Coding/Audio_Annotation/21_08_sparse_code.cha,0x7e3ad9
/Volumes/pn-opus/Seedlings/Subject_Files/21/21_12/Home_Visit/Coding/Audio_Annotation/21_12_sparse_code.cha,0x97abe6
/Volumes/pn-opus/Seedlings/Subject_Files/21/21_14/Home_Visit/Coding/Audio_Annotation/21_14_sparse_code.cha,0x83bf0f
/Volumes/pn-opus/Seedlings/Subject_Files/22/22_06/Home_Visit/Coding/Audio_Annotation/22_06_sparse_code.cha,0x0dd0b0
/Volumes/pn-opus/Seedlings/Subject_Files/22/22_11/Home_Visit/Coding/Audio_Annotation/22_11_sparse_code.cha,0x7cdd71
/Volumes/pn-opus/Seedlings/Subject_Files/22/22_11/Home_Visit/Coding/Audio_Annotation/22_11_sparse_code.cha,0x9d4a4a
/Volumes/pn-opus/Seedlings/Subject_Files/23/23_10/Home_Visit/Coding/Audio_Annotation/23_10_sparse_code.cha,0x0054f5
/Volumes/pn-opus/Seedlings/Subject_Files/23/23_12/Home_Visit/Coding/Audio_Annotation/23_12_sparse_code.cha,0x0f09bc
/Volumes/pn-opus/Seedlings/Subject_Files/23/23_12/Home_Visit/Coding/Audio_Annotation/23_12_sparse_code.cha,0xbebf3d
/Volumes/pn-opus/Seedlings/Subject_Files/23/23_12/Home_Visit/Coding/Audio_Annotation/23_12_sparse_code.cha,0xae4e98
/Volumes/pn-opus/Seedlings/Subject_Files/23/23_16/Home_Visit/Coding/Audio_Annotation/23_16_sparse_code.cha,0xfbf574
/Volumes/pn-opus/Seedlings/Subject_Files/26/26_09/Home_Visit/Coding/Audio_Annotation/26_09_sparse_code.cha,0x287654
/Volumes/pn-opus/Seedlings/Subject_Files/26/26_13/Home_Visit/Coding/Audio_Annotation/26_13_sparse_code.cha,0xdad518
/Volumes/pn-opus/Seedlings/Subject_Files/26/26_14/Home_Visit/Coding/Audio_Annotation/26_14_sparse_code.cha,0x660f01
/Volumes/pn-opus/Seedlings/Subject_Files/26/26_14/Home_Visit/Coding/Audio_Annotation/26_14_sparse_code.cha,0x40463f
/Volumes/pn-opus/Seedlings/Subject_Files/27/27_06/Home_Visit/Coding/Audio_Annotation/27_06_sparse_code.cha,0x39bfa8
/Volumes/pn-opus/Seedlings/Subject_Files/27/27_06/Home_Visit/Coding/Audio_Annotation/27_06_sparse_code.cha,0x18d031
/Volumes/pn-opus/Seedlings/Subject_Files/27/27_06/Home_Visit/Coding/Audio_Annotation/27_06_sparse_code.cha,0x4671a7
/Volumes/pn-opus/Seedlings/Subject_Files/27/27_06/Home_Visit/Coding/Audio_Annotation/27_06_sparse_code.cha,0x8d62a2
/Volumes/pn-opus/Seedlings/Subject_Files/27/27_07/Home_Visit/Coding/Audio_Annotation/27_07_sparse_code.cha,0x1c7f75
/Volumes/pn-opus/Seedlings/Subject_Files/27/27_07/Home_Visit/Coding/Audio_Annotation/27_07_sparse_code.cha,0x679970
/Volumes/pn-opus/Seedlings/Subject_Files/27/27_07/Home_Visit/Coding/Audio_Annotation/27_07_sparse_code.cha,0xf78a93
/Volumes/pn-opus/Seedlings/Subject_Files/27/27_07/Home_Visit/Coding/Audio_Annotation/27_07_sparse_code.cha,0x3d7a03
/Volumes/pn-opus/Seedlings/Subject_Files/27/27_08/Home_Visit/Coding/Audio_Annotation/27_08_sparse_code.cha,0xf61e36
/Volumes/pn-opus/Seedlings/Subject_Files/27/27_09/Home_Visit/Coding/Audio_Annotation/27_09_sparse_code.cha,0xd245a2
/Volumes/pn-opus/Seedlings/Subject_Files/27/27_10/Home_Visit/Coding/Audio_Annotation/27_10_sparse_code.cha,0x2cf684
/Volumes/pn-opus/Seedlings/Subject_Files/27/27_11/Home_Visit/Coding/Audio_Annotation/27_11_sparse_code.cha,0xd35b41
/Volumes/pn-opus/Seedlings/Subject_Files/27/27_12/Home_Visit/Coding/Audio_Annotation/27_12_sparse_code.cha,0xc84867
/Volumes/pn-opus/Seedlings/Subject_Files/27/27_15/Home_Visit/Coding/Audio_Annotation/27_15_sparse_code.cha,0x765ff1
/Volumes/pn-opus/Seedlings/Subject_Files/27/27_15/Home_Visit/Coding/Audio_Annotation/27_15_sparse_code.cha,0x26bf99
/Volumes/pn-opus/Seedlings/Subject_Files/27/27_16/Home_Visit/Coding/Audio_Annotation/27_16_sparse_code.cha,0xabbc5f
/Volumes/pn-opus/Seedlings/Subject_Files/28/28_10/Home_Visit/Coding/Audio_Annotation/28_10_sparse_code.cha,0xad3caf
/Volumes/pn-opus/Seedlings/Subject_Files/28/28_12/Home_Visit/Coding/Audio_Annotation/28_12_sparse_code.cha,0x49edef
/Volumes/pn-opus/Seedlings/Subject_Files/28/28_13/Home_Visit/Coding/Audio_Annotation/28_13_sparse_code.cha,0x061cd4
/Volumes/pn-opus/Seedlings/Subject_Files/28/28_16/Home_Visit/Coding/Audio_Annotation/28_16_sparse_code.cha,0x8e493a
/Volumes/pn-opus/Seedlings/Subject_Files/28/28_17/Home_Visit/Coding/Audio_Annotation/28_17_sparse_code.cha,0xfec17a
/Volumes/pn-opus/Seedlings/Subject_Files/28/28_17/Home_Visit/Coding/Audio_Annotation/28_17_sparse_code.cha,0x2fd724
/Volumes/pn-opus/Seedlings/Subject_Files/29/29_07/Home_Visit/Coding/Audio_Annotation/29_07_sparse_code.cha,0x24d58a
/Volumes/pn-opus/Seedlings/Subject_Files/29/29_07/Home_Visit/Coding/Audio_Annotation/29_07_sparse_code.cha,0xf8e3f7
/Volumes/pn-opus/Seedlings/Subject_Files/29/29_08/Home_Visit/Coding/Audio_Annotation/29_08_sparse_code.cha,0x9da6b7
/Volumes/pn-opus/Seedlings/Subject_Files/29/29_12/Home_Visit/Coding/Audio_Annotation/29_12_sparse_code.cha,0xbd9f70
/Volumes/pn-opus/Seedlings/Subject_Files/29/29_12/Home_Visit/Coding/Audio_Annotation/29_12_sparse_code.cha,0x77f4c9
/Volumes/pn-opus/Seedlings/Subject_Files/29/29_12/Home_Visit/Coding/Audio_Annotation/29_12_sparse_code.cha,0xa1504c
/Volumes/pn-opus/Seedlings/Subject_Files/29/29_12/Home_Visit/Coding/Audio_Annotation/29_12_sparse_code.cha,0x8a7254
/Volumes/pn-opus/Seedlings/Subject_Files/29/29_13/Home_Visit/Coding/Audio_Annotation/29_13_sparse_code.cha,0x85cbd1
/Volumes/pn-opus/Seedlings/Subject_Files/30/30_10/Home_Visit/Coding/Audio_Annotation/30_10_sparse_code.cha,0x9e7aad
/Volumes/pn-opus/Seedlings/Subject_Files/30/30_11/Home_Visit/Coding/Audio_Annotation/30_11_sparse_code.cha,0xe77984
/Volumes/pn-opus/Seedlings/Subject_Files/30/30_12/Home_Visit/Coding/Audio_Annotation/30_12_sparse_code.cha,0xe8bd2a
/Volumes/pn-opus/Seedlings/Subject_Files/30/30_16/Home_Visit/Coding/Audio_Annotation/30_16_sparse_code.cha,0x73bf85
/Volumes/pn-opus/Seedlings/Subject_Files/30/30_17/Home_Visit/Coding/Audio_Annotation/30_17_sparse_code.cha,0x8c32d7
/Volumes/pn-opus/Seedlings/Subject_Files/31/31_11/Home_Visit/Coding/Audio_Annotation/31_11_sparse_code.cha,0xca8f76
/Volumes/pn-opus/Seedlings/Subject_Files/31/31_12/Home_Visit/Coding/Audio_Annotation/31_12_sparse_code.cha,0x52f4ef
